hub_id,hub_name,vehicle_id,delivery_sequence,order_id,route_distance_km,route_load_kg
4,Hub_Van_Thanh,16,1,196,0.0,14.13
4,Hub_Van_Thanh,17,1,128,3.7,20.08
4,Hub_Van_Thanh,17,2,175,3.7,20.08
4,Hub_Van_Thanh,17,3,139,3.7,20.08
4,Hub_Van_Thanh,17,4,140,3.7,20.08
4,Hub_Van_Thanh,18,1,136,0.25,17.53
4,Hub_Van_Thanh,18,2,158,0.25,17.53
4,Hub_Van_Thanh,19,1,155,0.0,6.35
4,Hub_Van_Thanh,20,1,145,3.0,19.69
4,Hub_Van_Thanh,20,2,186,3.0,19.69
4,Hub_Van_Thanh,20,3,130,3.0,19.69
4,Hub_Van_Thanh,20,4,180,3.0,19.69
4,Hub_Van_Thanh,21,1,202,5.48,18.51
4,Hub_Van_Thanh,21,2,183,5.48,18.51
5,Hub_Tan_Cang,1,1,179,2.49,18.57
5,Hub_Tan_Cang,1,2,151,2.49,18.57
5,Hub_Tan_Cang,1,3,129,2.49,18.57
5,Hub_Tan_Cang,1,4,209,2.49,18.57
5,Hub_Tan_Cang,2,1,228,1.38,18.53
5,Hub_Tan_Cang,2,2,273,1.38,18.53
5,Hub_Tan_Cang,2,3,229,1.38,18.53
5,Hub_Tan_Cang,2,4,233,1.38,18.53
5,Hub_Tan_Cang,3,1,152,2.19,12.62
5,Hub_Tan_Cang,3,2,188,2.19,12.62
5,Hub_Tan_Cang,3,3,190,2.19,12.62
5,Hub_Tan_Cang,3,4,142,2.19,12.62
5,Hub_Tan_Cang,3,5,185,2.19,12.62
5,Hub_Tan_Cang,3,6,167,2.19,12.62
5,Hub_Tan_Cang,4,1,165,3.74,11.22
5,Hub_Tan_Cang,4,2,204,3.74,11.22
5,Hub_Tan_Cang,4,3,133,3.74,11.22
5,Hub_Tan_Cang,5,1,214,3.46,19.94
5,Hub_Tan_Cang,5,2,218,3.46,19.94
5,Hub_Tan_Cang,5,3,267,3.46,19.94
5,Hub_Tan_Cang,5,4,234,3.46,19.94
5,Hub_Tan_Cang,6,1,163,0.0,17.38
5,Hub_Tan_Cang,7,1,178,0.31,19.73
