order_id,hub_id,hub_strategy,traffic_condition,scenario,time,distance,cost,co2,modes_used
9,1,centralized,Peak,Central Road Only,2.1443,0.4289,1286.56,0.0515,road
9,1,centralized,Peak,Central Road + Metro,2.1443,0.4289,1286.56,0.0515,road
9,1,centralized,Peak,Central Road + Waterbus,2.1443,0.4289,1286.56,0.0515,road
9,1,centralized,Peak,Central Full Multimodal,2.1443,0.4289,1286.56,0.0515,road
10,1,nearest,Off-Peak,Road Only,2.6236,1.3118,3935.33,0.1574,road
10,1,nearest,Off-Peak,Road + Metro,2.6236,1.3118,3935.33,0.1574,road
10,1,nearest,Off-Peak,Road + Waterbus,2.6236,1.3118,3935.33,0.1574,road
10,1,nearest,Off-Peak,Full Multimodal,2.6236,1.3118,3935.33,0.1574,road
10,1,nearest,Peak,Road Only,6.5589,1.3118,3935.33,0.1574,road
10,1,nearest,Peak,Road + Metro,6.5589,1.3118,3935.33,0.1574,road
10,1,nearest,Peak,Road + Waterbus,6.5589,1.3118,3935.33,0.1574,road
10,1,nearest,Peak,Full Multimodal,6.5589,1.3118,3935.33,0.1574,road
10,1,centralized,Off-Peak,Central Road Only,2.6236,1.3118,3935.33,0.1574,road
10,1,centralized,Off-Peak,Central Road + Metro,2.6236,1.3118,3935.33,0.1574,road
10,1,centralized,Off-Peak,Central Road + Waterbus,2.6236,1.3118,3935.33,0.1574,road
10,1,centralized,Off-Peak,Central Full Multimodal,2.6236,1.3118,3935.33,0.1574,road
10,1,centralized,Peak,Central Road Only,6.5589,1.3118,3935.33,0.1574,road
10,1,centralized,Peak,Central Road + Metro,6.5589,1.3118,3935.33,0.1574,road
10,1,centralized,Peak,Central Road + Waterbus,6.5589,1.3118,3935.33,0.1574,road
10,1,centralized,Peak,Central Full Multimodal,6.5589,1.3118,3935.33,0.1574,road
11,1,nearest,Off-Peak,Road Only,1.5338,0.7669,2300.67,0.092,road
11,1,nearest,Off-Peak,Road + Metro,1.5338,0.7669,2300.67,0.092,road
11,1,nearest,Off-Peak,Road + Waterbus,1.5338,0.7669,2300.67,0.092,road
11,1,nearest,Off-Peak,Full Multimodal,1.5338,0.7669,2300.67,0.092,road
11,1,nearest,Peak,Road Only,3.8345,0.7669,2300.67,0.092,road
11,1,nearest,Peak,Road + Metro,3.8345,0.7669,2300.67,0.092,road
11,1,nearest,Peak,Road + Waterbus,3.8345,0.7669,2300.67,0.092,road
11,1,nearest,Peak,Full Multimodal,3.8345,0.7669,2300.67,0.092,road
11,1,centralized,Off-Peak,Central Road Only,1.5338,0.7669,2300.67,0.092,road
11,1,centralized,Off-Peak,Central Road + Metro,1.5338,0.7669,2300.67,0.092,road
11,1,centralized,Off-Peak,Central Road + Waterbus,1.5338,0.7669,2300.67,0.092,road
11,1,centralized,Off-Peak,Central Full Multimodal,1.5338,0.7669,2300.67,0.092,road
11,1,centralized,Peak,Central Road Only,3.8345,0.7669,2300.67,0.092,road
11,1,centralized,Peak,Central Road + Metro,3.8345,0.7669,2300.67,0.092,road
11,1,centralized,Peak,Central Road + Waterbus,3.8345,0.7669,2300.67,0.092,road
11,1,centralized,Peak,Central Full Multimodal,3.8345,0.7669,2300.67,0.092,road
12,1,nearest,Off-Peak,Road Only,0.8577,0.4289,1286.56,0.0515,road
12,1,nearest,Off-Peak,Road + Metro,0.8577,0.4289,1286.56,0.0515,road
